date,cashflow,cash,equity_value,market_value,cumulative_contribution,profit,investment_return,daily_return,time_weighted_nav,cash_weight,running_peak,drawdown
2021-06-15,0.0,2.9103830456733704e-11,110629.23330498909,110629.23330498912,66000.0,44629.23330498912,0.6762005046210473,-0.01928591718775452,1.5440223375780033,2.6307540590558527e-16,1.676099447998659,-0.07880028275074125
2021-06-16,0.0,2.9103830456733704e-11,107865.40689478125,107865.40689478128,66000.0,41865.40689478128,0.6343243468906254,-0.024982785540855756,1.5054483586480012,2.6981616529869874e-16,1.676099447998659,-0.10181441772707656
2021-06-17,0.0,2.9103830456733704e-11,107871.34646972187,107871.3464697219,66000.0,41871.3464697219,0.634414340450332,5.506468766602879e-05,1.5055312556916676,2.698013087738992e-16,1.676099447998659,-0.10176495941852248
2021-06-18,0.0,2.9103830456733704e-11,108271.03953567814,108271.03953567817,66000.0,42271.03953567817,0.6404702959951238,0.003705275580929701,1.5111096638897084,2.6880531101895648e-16,1.676099447998659,-0.09843675105672056
2021-06-21,0.0,2.9103830456733704e-11,109239.52209778152,109239.52209778155,66000.0,43239.52209778155,0.6551442742088114,0.008944982575735283,1.524626513503227,2.66422169356275e-16,1.676099447998659,-0.0903722835039995
2021-06-22,0.0,2.9103830456733704e-11,109727.62549590594,109727.62549590597,66000.0,43727.62549590597,0.6625397802409996,0.004468194191544761,1.5314388408351374,2.6523703876030374e-16,1.676099447998659,-0.08630789022468399
2021-06-23,0.0,2.9103830456733704e-11,110876.40550399809,110876.40550399812,66000.0,44876.40550399812,0.6799455379393655,0.010469378179836841,1.5474720532191313,2.6248894275062194e-16,1.676099447998659,-0.0767421019875133
2021-06-24,0.0,2.9103830456733704e-11,110800.5069062177,110800.50690621774,66000.0,44800.506906217735,0.6787955591851171,-0.0006845333543721299,1.546412756983744,2.626687482699639e-16,1.676099447998659,-0.0773741028133903
2021-06-25,0.0,2.9103830456733704e-11,112885.31392052623,112885.31392052626,66000.0,46885.313920526256,0.7103835442503978,0.018815861700642866,1.57550984555126,2.578176863398142e-16,1.676099447998659,-0.06001410153049558
2021-06-28,0.0,2.9103830456733704e-11,112528.14787144816,112528.1478714482,66000.0,46528.14787144819,0.7049719374461847,-0.00316397267876245,1.5705249754448145,2.5863600358891384e-16,1.676099447998659,-0.0629881912316751
2021-06-29,0.0,2.9103830456733704e-11,111356.90385451533,111356.90385451536,66000.0,45356.90385451536,0.6872258159775055,-0.01040845369881016,1.5541782389550722,2.6135631873132026e-16,1.676099447998659,-0.07274103525847853
2021-06-30,0.0,2.9103830456733704e-11,112114.85930298628,112114.85930298631,66000.0,46114.85930298631,0.6987099894391866,0.006806542048449993,1.564756818489306,2.595894124799431e-16,1.676099447998659,-0.06642960812516308
2021-07-01,1000.0,1.4551915228366852e-11,112044.89216386617,112044.89216386619,67000.0,45044.892163866185,0.6723118233412864,-0.009543490896497309,1.549823576036821,1.2987575736236692e-16,1.676099447998659,-0.07533912866126014
2021-07-02,0.0,1.4551915228366852e-11,110712.35433454954,110712.35433454956,67000.0,43712.35433454956,0.6524231990231277,-0.011892892246866404,1.531391691245362,1.314389465912179e-16,1.676099447998659,-0.08633602076898528
2021-07-05,0.0,1.4551915228366852e-11,112345.22586756607,112345.22586756609,67000.0,45345.225867566085,0.6767944159338222,0.014748774360649364,1.5539778417573131,1.29528559099795e-16,1.676099447998659,-0.07286059689785407
2021-07-06,0.0,1.4551915228366852e-11,112055.13312351111,112055.13312351113,67000.0,45055.13312351113,0.6724646734852406,-0.0025821546204101153,1.5499652306932046,1.2986388773754093e-16,1.676099447998659,-0.0752546141913385
2021-07-07,0.0,1.4551915228366852e-11,114707.50417770958,114707.50417770959,67000.0,47707.50417770959,0.7120523011598445,0.023670232503092192,1.5866532680754217,1.2686105702223654e-16,1.676099447998659,-0.05336567590308572
2021-07-08,0.0,1.4551915228366852e-11,114419.55728453111,114419.55728453113,67000.0,47419.557284531125,0.7077545863362855,-0.002510270755541555,1.5826703387773875,1.2718031404526496e-16,1.676099447998659,-0.055741984363058106
2021-07-09,0.0,1.4551915228366852e-11,116090.29551161746,116090.29551161747,67000.0,49090.29551161747,0.7326909777853354,0.014601858866938766,1.6057802676971051,1.2534997145313152e-16,1.676099447998659,-0.04195406208475183
2021-07-12,0.0,1.4551915228366852e-11,118375.85354893593,118375.85354893595,67000.0,51375.85354893595,0.7668037843124769,0.01968776138647832,1.637394486446641,1.2292975967730757e-16,1.676099447998659,-0.023092282261791608
2021-07-13,0.0,1.4551915228366852e-11,118497.8299846618,118497.82998466182,67000.0,51497.82998466182,0.7686243281292808,0.0010304165255750064,1.639081684784361,1.228032212087802e-16,1.676099447998659,-0.02208566040547233
2021-07-14,0.0,1.4551915228366852e-11,116653.92964517146,116653.92964517148,67000.0,49653.929645171476,0.7411034275398727,-0.015560625369502645,1.6135765487374183,1.247443208525396e-16,1.676099447998659,-0.03730261908736743
2021-07-15,0.0,1.4551915228366852e-11,118326.45137747847,118326.45137747849,67000.0,51326.45137747849,0.7660664384698281,0.014337465847866104,1.6367111473978586,1.2298108376413772e-16,1.676099447998659,-0.02349997826670247
2021-07-16,0.0,1.4551915228366852e-11,117516.08806016234,117516.08806016235,67000.0,50516.08806016235,0.7539714635845127,-0.0068485390027539506,1.6255020672686622,1.23829132407105e-16,1.676099447998659,-0.030187576751733003
2021-07-19,0.0,1.4551915228366852e-11,117055.92964662831,117055.92964662833,67000.0,50055.92964662833,0.7471034275616169,-0.003915705680216708,1.6191370795906543,1.2431591694924447e-16,1.676099447998659,-0.033985076766191
2021-07-20,0.0,1.4551915228366852e-11,117419.92152985465,117419.92152985466,67000.0,50419.92152985466,0.7525361422366368,0.0031095552726390085,1.6241718758336208,1.239305480600832e-16,1.676099447998659,-0.030981199968201367
2021-07-21,0.0,1.4551915228366852e-11,120309.28760931543,120309.28760931545,67000.0,53309.28760931545,0.7956610090942604,0.02460711982954389,1.6641380678060338,1.2095421324097434e-16,1.676099447998659,-0.0071364382387379965
2021-07-22,0.0,1.4551915228366852e-11,121965.8826720672,121965.88267206721,67000.0,54965.88267206721,0.8203863085383165,0.013769469470480855,1.687052366125354,1.1931135912403437e-16,1.687052366125354,0.0
2021-07-23,0.0,1.4551915228366852e-11,121525.16493591294,121525.16493591295,67000.0,54525.16493591295,0.8138084318792977,-0.0036134509626698508,1.680956285128904,1.1974404837089417e-16,1.687052366125354,-0.0036134509626698508
2021-07-26,0.0,1.4551915228366852e-11,119759.56835116252,119759.56835116254,67000.0,52759.56835116254,0.7874562440472022,-0.014528649976994545,1.656534259635637,1.2150941614700295e-16,1.687052366125354,-0.01808960237541879
2021-07-27,0.0,1.4551915228366852e-11,115524.17371415529,115524.1737141553,67000.0,48524.1737141553,0.7242413987187359,-0.03536581415013196,1.5979495768760366,1.2596424419682985e-16,1.687052366125354,-0.05281566300989193
2021-07-28,0.0,1.4551915228366852e-11,113941.63161858411,113941.63161858413,67000.0,46941.63161858413,0.7006213674415542,-0.013698796058796314,1.5760595915101718,1.2771376907326472e-16,1.687052366125354,-0.0657909480724056
2021-07-29,0.0,1.4551915228366852e-11,118536.04080951192,118536.04080951193,67000.0,51536.040809511935,0.7691946389479394,0.040322480252937165,1.639610223266293,1.2276363483197367e-16,1.687052366125354,-0.02812132202394002
2021-07-30,0.0,1.4551915228366852e-11,120023.1855648843,120023.18556488432,67000.0,53023.18556488432,0.7913908293266316,0.012545929028979774,1.6601806567625816,1.2124253459761833e-16,1.687052366125354,-0.0159282011052736
2021-08-02,1000.0,0.0,122281.6107645645,122281.6107645645,68000.0,54281.610764564495,0.7982589818318309,0.01048485085408668,1.677587403339577,0.0,1.687052366125354,-0.005610355064149641
2021-08-03,0.0,0.0,121522.46533813563,121522.46533813563,68000.0,53522.46533813563,0.7870950785019946,-0.006208173262376215,1.667172650076865,0.0,1.687052366125354,-0.011783698270224185
2021-08-04,0.0,0.0,123564.1163748577,123564.1163748577,68000.0,55564.116374857695,0.8171193584537897,0.016800605806022606,1.6951821605813886,0.0,1.6951821605813886,0.0
2021-08-05,0.0,0.0,122949.09649692479,122949.09649692479,68000.0,54949.09649692479,0.808074948484188,-0.004977334002592704,1.6867446727729383,0.0,1.6951821605813886,-0.004977334002592704
2021-08-06,0.0,0.0,122949.09649692479,122949.09649692479,68000.0,54949.09649692479,0.808074948484188,0.0,1.6867446727729383,0.0,1.6951821605813886,-0.004977334002592704
2021-08-09,0.0,0.0,124106.04328810993,124106.04328810993,68000.0,56106.043288109926,0.8250888718839695,0.009409965783799601,1.7026168824297379,0.0,1.7026168824297379,0.0
2021-08-10,0.0,0.0,124399.11281476227,124399.11281476227,68000.0,56399.112814762266,0.8293987178641509,0.002361444446117522,1.7066375176106174,0.0,1.7066375176106174,0.0
2021-08-11,0.0,0.0,125156.21311362817,125156.21311362817,68000.0,57156.21311362817,0.8405325457886494,0.006086058668225869,1.717024213668191,0.0,1.717024213668191,0.0
2021-08-12,0.0,0.0,125733.7388783585,125733.7388783585,68000.0,57733.738878358505,0.8490255717405661,0.004614439430234318,1.7249473179024086,0.0,1.7249473179024086,0.0
2021-08-13,0.0,0.0,125667.19160219851,125667.19160219851,68000.0,57667.19160219851,0.8480469353264486,-0.0005292714330588089,1.7240343525635116,0.0,1.7249473179024086,-0.0005292714330588089
2021-08-16,0.0,0.0,125641.47426520564,125641.47426520564,68000.0,57641.474265205645,0.8476687391942006,-0.000204646389124985,1.723681535158532,0.0,1.7249473179024086,-0.0007338095086961705
2021-08-17,0.0,0.0,123405.94404313594,123405.94404313594,68000.0,55405.94404313594,0.8147932947519991,-0.017792932112137727,1.6930121866205108,0.0,1.7249473179024086,-0.018513684998062385
2021-08-18,0.0,0.0,124234.00414771213,124234.00414771213,68000.0,56234.00414771213,0.8269706492310607,0.006710050403137435,1.7043723837258604,0.0,1.7249473179024086,-0.01192786235440979
2021-08-19,0.0,0.0,124181.92428603528,124181.92428603528,68000.0,56181.92428603528,0.8262047689122836,-0.0004192077848100828,1.7036578975543872,0.0,1.7249473179024086,-0.01234206988646469
2021-08-20,0.0,0.0,123816.40247093739,123816.40247093739,68000.0,55816.40247093739,0.8208294481020204,-0.002943438162996803,1.6986432858820348,0.0,1.7249473179024086,-0.015249179929947232
2021-08-23,0.0,0.0,125609.85442608217,125609.85442608217,68000.0,57609.854426082165,0.8472037415600318,0.014484768733009634,1.7232477410379157,0.0,1.7249473179024086,-0.000985292041591035
2021-08-24,0.0,0.0,126648.6025185949,126648.6025185949,68000.0,58648.6025185949,0.8624794488028662,0.00826963853480156,1.7374983769622125,0.0,1.7374983769622125,0.0
2021-08-25,0.0,0.0,127518.84604414628,127518.84604414628,68000.0,59518.84604414628,0.8752771477080334,0.006871323553875097,1.7494372904846527,0.0,1.7494372904846527,0.0
2021-08-26,0.0,0.0,126779.63081630068,126779.63081630068,68000.0,58779.630816300676,0.8644063355338334,-0.005796909639455894,1.7392959605918186,0.0,1.7494372904846527,-0.005796909639455894
2021-08-27,0.0,0.0,127529.65189422909,127529.65189422909,68000.0,59529.651894229086,0.8754360572680748,0.005915943066715279,1.7495855364708477,0.0,1.7495855364708477,0.0
2021-08-30,0.0,0.0,127857.5458046258,127857.5458046258,68000.0,59857.5458046258,0.8802580265386146,0.002571118994888044,1.7540839290768493,0.0,1.7540839290768493,0.0
2021-08-31,0.0,0.0,128634.09139260431,128634.09139260431,68000.0,60634.091392604314,0.8916778145971223,0.006073521770589396,1.7647373960075385,0.0,1.7647373960075385,0.0
